"start_date","end_date","iso_year","year","week","month"
"2006-05-29","2006-06-04","2006","2006","22","6"
"2006-06-05","2006-06-11","2006","2006","23","6"
"2006-06-12","2006-06-18","2006","2006","24","6"
"2006-06-19","2006-06-25","2006","2006","25","6"
"2006-06-26","2006-07-02","2006","2006","26","7"
"2006-07-03","2006-07-09","2006","2006","27","7"
"2006-07-10","2006-07-16","2006","2006","28","7"
"2006-07-17","2006-07-23","2006","2006","29","7"
"2006-07-24","2006-07-30","2006","2006","30","7"
"2006-07-31","2006-08-06","2006","2006","31","8"
"2006-08-07","2006-08-13","2006","2006","32","8"
"2006-08-14","2006-08-20","2006","2006","33","8"
"2006-08-21","2006-08-27","2006","2006","34","8"
"2006-08-28","2006-09-03","2006","2006","35","9"
"2006-09-04","2006-09-10","2006","2006","36","9"
"2006-09-11","2006-09-17","2006","2006","37","9"
"2006-09-18","2006-09-24","2006","2006","38","9"
"2006-09-25","2006-10-01","2006","2006","39","9"
"2006-10-02","2006-10-08","2006","2006","40","10"
"2006-10-09","2006-10-15","2006","2006","41","10"
"2006-10-16","2006-10-22","2006","2006","42","10"
"2006-10-23","2006-10-29","2006","2006","43","10"
"2006-10-30","2006-11-05","2006","2006","44","11"
"2006-11-06","2006-11-12","2006","2006","45","11"
"2006-11-13","2006-11-19","2006","2006","46","11"
"2006-11-20","2006-11-26","2006","2006","47","11"
"2006-11-27","2006-12-03","2006","2006","48","12"
"2006-12-04","2006-12-10","2006","2006","49","12"
"2006-12-11","2006-12-17","2006","2006","50","12"
"2006-12-18","2006-12-24","2006","2006","51","12"
"2006-12-25","2006-12-31","2006","2006","52","12"
"2007-01-01","2007-01-07","2007","2007","1","1"
"2007-01-08","2007-01-14","2007","2007","2","1"
"2007-01-15","2007-01-21","2007","2007","3","1"
"2007-01-22","2007-01-28","2007","2007","4","1"
"2007-01-29","2007-02-04","2007","2007","5","2"
"2007-02-05","2007-02-11","2007","2007","6","2"
"2007-02-12","2007-02-18","2007","2007","7","2"
"2007-02-19","2007-02-25","2007","2007","8","2"
"2007-02-26","2007-03-04","2007","2007","9","3"
"2007-03-05","2007-03-11","2007","2007","10","3"
"2007-03-12","2007-03-18","2007","2007","11","3"
"2007-03-19","2007-03-25","2007","2007","12","3"
"2007-03-26","2007-04-01","2007","2007","13","3"
"2007-04-02","2007-04-08","2007","2007","14","4"
"2007-04-09","2007-04-15","2007","2007","15","4"
"2007-04-16","2007-04-22","2007","2007","16","4"
"2007-04-23","2007-04-29","2007","2007","17","4"
"2007-04-30","2007-05-06","2007","2007","18","5"
"2007-05-07","2007-05-13","2007","2007","19","5"
"2007-05-14","2007-05-20","2007","2007","20","5"
"2007-05-21","2007-05-27","2007","2007","21","5"
"2007-05-28","2007-06-03","2007","2007","22","6"
"2007-06-04","2007-06-10","2007","2007","23","6"
"2007-06-11","2007-06-17","2007","2007","24","6"
"2007-06-18","2007-06-24","2007","2007","25","6"
"2007-06-25","2007-07-01","2007","2007","26","6"
"2007-07-02","2007-07-08","2007","2007","27","7"
"2007-07-09","2007-07-15","2007","2007","28","7"
"2007-07-16","2007-07-22","2007","2007","29","7"
"2007-07-23","2007-07-29","2007","2007","30","7"
"2007-07-30","2007-08-05","2007","2007","31","8"
"2007-08-06","2007-08-12","2007","2007","32","8"
"2007-08-13","2007-08-19","2007","2007","33","8"
"2007-08-20","2007-08-26","2007","2007","34","8"
"2007-08-27","2007-09-02","2007","2007","35","9"
"2007-09-03","2007-09-09","2007","2007","36","9"
"2007-09-10","2007-09-16","2007","2007","37","9"
"2007-09-17","2007-09-23","2007","2007","38","9"
"2007-09-24","2007-09-30","2007","2007","39","9"
"2007-10-01","2007-10-07","2007","2007","40","10"
"2007-10-08","2007-10-14","2007","2007","41","10"
"2007-10-15","2007-10-21","2007","2007","42","10"
"2007-10-22","2007-10-28","2007","2007","43","10"
"2007-10-29","2007-11-04","2007","2007","44","11"
